circuit_index,noisy_counts,ideal_counts
2054,"{""011"": 14, ""000"": 784, ""100"": 26, ""111"": 109, ""001"": 34, ""010"": 20, ""101"": 4, ""110"": 9}","{""000"": 899, ""111"": 101}"
2055,"{""0101"": 362, ""1000"": 9, ""0000"": 133, ""0001"": 200, ""0010"": 5, ""1101"": 19, ""0100"": 202, ""1111"": 4, ""0110"": 13, ""1001"": 7, ""0011"": 8, ""1100"": 15, ""0111"": 15, ""1011"": 7, ""1110"": 1}","{""0100"": 233, ""0001"": 205, ""0101"": 416, ""0000"": 138, ""0110"": 3, ""0011"": 2, ""0111"": 2, ""0010"": 1}"
2056,"{""1000"": 60, ""0000"": 657, ""1111"": 5, ""0010"": 42, ""1101"": 9, ""1001"": 23, ""1110"": 7, ""0101"": 24, ""0100"": 47, ""1100"": 9, ""0001"": 52, ""0110"": 23, ""1010"": 28, ""1011"": 4, ""0011"": 8, ""0111"": 2}","{""0000"": 1000}"
2057,"{""01011"": 808, ""01010"": 37, ""01001"": 49, ""00011"": 10, ""11011"": 19, ""11101"": 5, ""00101"": 3, ""01000"": 16, ""01111"": 24, ""10011"": 2, ""01110"": 4, ""11111"": 4, ""01100"": 2, ""11001"": 8, ""00001"": 4, ""00000"": 2, ""01101"": 1, ""10111"": 1, ""10001"": 1}","{""01011"": 1000}"
2058,"{""01"": 151, ""00"": 325, ""10"": 339, ""11"": 185}","{""00"": 324, ""01"": 160, ""11"": 171, ""10"": 345}"
2059,"{""001"": 9, ""000"": 473, ""100"": 466, ""110"": 11, ""101"": 19, ""010"": 14, ""111"": 5, ""011"": 3}","{""100"": 492, ""000"": 508}"
2060,"{""111"": 216, ""001"": 208, ""011"": 28, ""010"": 230, ""000"": 239, ""110"": 30, ""100"": 20, ""101"": 29}","{""111"": 257, ""010"": 240, ""000"": 243, ""001"": 260}"
2061,"{""10"": 450, ""11"": 453, ""01"": 42, ""00"": 55}","{""11"": 465, ""10"": 461, ""01"": 31, ""00"": 43}"
2062,"{""0010"": 26, ""1011"": 282, ""0011"": 280, ""1010"": 20, ""0001"": 151, ""1001"": 155, ""1000"": 18, ""0111"": 15, ""0000"": 16, ""1100"": 7, ""0100"": 3, ""1111"": 8, ""1110"": 4, ""0101"": 6, ""0110"": 5, ""1101"": 4}","{""1011"": 327, ""0011"": 352, ""1001"": 144, ""0001"": 177}"
2063,"{""00010"": 602, ""00011"": 21, ""01100"": 43, ""00001"": 20, ""01010"": 29, ""01001"": 36, ""11001"": 2, ""00000"": 28, ""11100"": 83, ""10111"": 9, ""11010"": 8, ""01011"": 38, ""10010"": 18, ""10100"": 6, ""11000"": 3, ""11101"": 2, ""11111"": 3, ""00111"": 2, ""01000"": 3, ""10011"": 6, ""01111"": 2, ""10101"": 6, ""01110"": 3, ""11110"": 5, ""10000"": 2, ""01101"": 4, ""00100"": 6, ""00110"": 3, ""00101"": 5, ""11011"": 2}","{""01011"": 32, ""00010"": 745, ""11100"": 88, ""00001"": 20, ""01001"": 39, ""01100"": 53, ""00011"": 14, ""10111"": 4, ""01111"": 1, ""00101"": 2, ""11101"": 1, ""11111"": 1}"
2064,"{""1000"": 27, ""0000"": 373, ""0010"": 388, ""0101"": 13, ""0110"": 35, ""0100"": 48, ""0011"": 14, ""1100"": 16, ""0111"": 5, ""0001"": 25, ""1110"": 13, ""1010"": 35, ""1001"": 2, ""1011"": 2, ""1111"": 3, ""1101"": 1}","{""0000"": 514, ""0010"": 486}"
2065,"{""000"": 851, ""001"": 25, ""011"": 14, ""010"": 25, ""100"": 43, ""101"": 12, ""110"": 20, ""111"": 10}","{""000"": 1000}"
2066,"{""000"": 374, ""010"": 67, ""100"": 446, ""110"": 94, ""101"": 8, ""001"": 6, ""111"": 4, ""011"": 1}","{""100"": 440, ""000"": 367, ""110"": 94, ""010"": 99}"
